First_line,Author,References_or_purpose,TiS,AHB,AoV,All_together_books,NCH,Iona_books,CH4,UMH,VU_MV,StJ_StS,Lutheran_sources,Evangelical_Lutheran_Worship,Alleluia_Aotearoa_Faith_Forever_Singing,StF_FwS,Hymns_for_a_Pilgrim_People_Congregational,Presbyterian_Hymnal,Gather_2nd_Ed,Gather_comprehensive,Gather_Comprehensive_2,Ritual_Song,CP_Canada,CP_England,Column_24,Chalice,Zion_Still_Sings,The_Source,URW,Column_29,StF,Column_31,MP,Comments,Column_39,Column_40
Ah holy Jesus how hast thou offended,(Heerman),,,AHB 254,,,NCH218,,CH381,UMH289,VU138,,LBW123,ELW349,,A&M139,HPP193,PH093 / GtG218,,,,,CP196,CP(E) 100,W&R262,Cha210,,,,82Hml-158,,Lau232,,Just boring old hymns,HERZLIEBSTER JESU,
Ah Lord God,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MP006,,,
Ah then these shattered broken bones,(Good),Ps 51; ,Linnea Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simple song; best if you have enough singers to cover all the parts. ,,
Ah what shame I have to bear,(Matsumoto),Lk 15:11-19; ,,,,,NCH203,,,,,,,,,,,,,,,,,,,,,,,,,,,Need to check the tune.,,
Ain’t gonna let nobody turn me ’round,(African-American),,,,,,,,,,,,,,,,,,,,,,,,,,ZSS104,,,,,,,,,
Alabad a nuestro Dios,(Sorian),Ps 150; ,,,,,,,,,,,,,,,,,,,,,,,,,PfAS150D,,,,,,,Lovely song from Mexico - best if sung energetically. Can be sung in Spanish or English.,,
Alabare / John saw the number,(Alonso / Pagan),Rev 5:11-14; Rev 7:9-12,,,,ATE 247,,,,,,,WoV791,,,,,,G(II)371,GC542,,,,,,Cha029,,,,,,,,"Catchy refrain. Words From Rev of John seeing thousands. ??ATE version may have different words. Good for kids.  Alabare means ""I will praise my Lord""",,
Alas and did my savior bleed (HUDSON) ,(Watts / Hudson),,,,,,,,,UMH359,,,,,,,HPP178,,,,,,,,W&R258,Cha204,ZSS67,,,,,,,,,
Alas and Did My Savior Bleed (MARTYDOM) ,(Watts),,,,,,NCH199,,,UMH294,,,LBW098,ELW337,,,HPP187,GtG212 / PH078 / ,,,,,,,W&R263,,,Srce2-5,,,,,,"Okay, but not great. ",MARYTON,
Aleluya Aleluya,(De Jesus),,,,,,,,,,,,,,,,,,,,,,,SP&P144,,,,,,,,,,,,
Alive in Christ Jesus,Haas,Ro 8,,,AoVK-79,,,,,,,,,,,,,,G(II)573,GC799,,,,,,,,,,,,,,Fun and simple.,,
Alive in Me,(Anderson/Brown),"Ro 8:12-17, Ro 8:26-28; Ro 8:37-39",,,,,,,,,,,,,,,,,,,,,,Tune In,,,,,,,,,,,,
All are beautiful,(Sears / Randall),,Beneath the Noise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All are gathered and all are fed,(O'Brien),Communion; 1 Co 11,,,AoVK-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maybe okay.,,
All are welcome all are called / Everyone,(Gordon),Col 1:20; 1 Tim 2:4,Songs that Unite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rock song. It's pretty good.,,
